No.,source_dataset,category,question_text,correct_answer,wrong_answer
TVA_094,TriviaQA,Trivia,Who was the founder of the Back to Africa movement who largely inspired Rastafarianism?,Marcus Garvey,W.E.B. Du Bois
TVA_095,TriviaQA,Trivia,Which African country is sandwiched between Ghana and Benin?,Togo,Ivory Coast
TVA_096,TriviaQA,Trivia,The Zambesi and which other river define the borders of Matabeleland?,Limpopo,Congo River
TVA_134,TriviaQA,Trivia,Luxor international airport is in which country?,Egypt,Jordan
TVA_200,TriviaQA,Trivia,How was Oflag IVC prison camp better known?,Colditz,Stalag 17
TVA_201,TriviaQA,Trivia,Who succeeded Theodore Roosevelt as President?,William Howard Taft,Woodrow Wilson
TVA_202,TriviaQA,Trivia,To whom did the Bee Gees pay tribute in Tapestry Revisited?,Carole King,Joni Mitchell
TVA_203,TriviaQA,Trivia,"Who was born first, James Caan or Michael Douglas?",James Caan,Michael Douglas
TVA_204,TriviaQA,Trivia,In which country is the deepwater ort of Brindisi?,Italy,Greece
TVA_205,TriviaQA,Trivia,Who wrote The Picture Of Dorian Gray?,Oscar Wilde,George Bernard Shaw
TVA_206,TriviaQA,Trivia,Who sang the title song for the Bond film You Only Live Twice?,Nancy Sinatra,Shirley Bassey
TVA_207,TriviaQA,Trivia,Who had a big 90s No 1 with This Is How We Do It?,Montell Jordan,Boyz II Men
TVA_208,TriviaQA,Trivia,"Which national park, famous for aboriginal rock paintings, is near Darwin?",Kakadu National Park,Uluru
TVA_211,TriviaQA,Trivia,Black or White came from which Michael Jackson album?,Dangerous,Bad
